Titulo,Descripción,Referencias visuales,Criterios de aceptación en formato test cases,Tareas,Estimación del esfuerzo (story points),Prioridad,Etiquetas (labels)
"US-01 | Feature: Registro de nuevos clientes comerciales","Actualmente, los nuevos clientes comerciales de TechFin Perú S.A.C. se registran de manera manual en hojas de cálculo externas. Se requiere implementar un formulario dentro del CRM para registrar nuevos clientes comerciales y almacenar sus datos de manera estructurada en la base de datos.

**Como** Encargado de Ventas Comerciales,
**quiero** registrar nuevos clientes comerciales ingresando su Razón Social, RUC, y datos del contacto principal,
**para** agregarlos a mi cartera de clientes y centralizar su información.","Vista: Cartera de Clientes / Empresas -> Sección: Listado de Cuentas Comerciales -> Formulario/Botón de Registro","- [ ] TC-01: Registro exitoso de cliente con todos los campos obligatorios válidos.
- [ ] TC-02: Rechazo de registro si el RUC no tiene exactamente 11 dígitos numéricos o ya existe en el sistema.
- [ ] TC-03: Validación de campos obligatorios para Razón Social, RUC y correo electrónico del contacto principal.
- [ ] TC-04: El sistema asigna automáticamente al Encargado Comercial activo como responsable de la cuenta.","### UX/UI Designer
- [ ] UX-01: Diseñar wireframe del formulario de registro alineado con el diseño premium.

### Database Administrator
- [ ] DB-01: Diseñar esquema de base de datos y crear tabla `clientes` (RUC, razon_social, ejecutivo_id, etc.).

### Backend Developer
- [ ] BE-01: Crear endpoint `POST /api/clientes` para recibir e insertar la información.
- [ ] BE-02: Implementar validación en backend de unicidad del RUC y formato del correo.

### Frontend Developer
- [ ] FE-01: Diseñar formulario interactivo de registro con retroalimentación inmediata en cliente.
- [ ] FE-02: Integrar el formulario con endpoint `POST /api/clientes` y manejar pantallas de éxito y error.

### Quality Assurance
- [ ] QA-01: Ejecutar pruebas de carga y validaciones negativas del RUC y campos obligatorios.","5","Alta","clientes, registro, sprint-1"
"US-02 | Feature: Listado de cartera de clientes","Para supervisar y planificar las llamadas diarias, el encargado comercial necesita visualizar la totalidad de las cuentas comerciales que tiene asignadas en un único listado.

**Como** Encargado de Ventas Comerciales,
**quiero** ver un listado de todas las cuentas comerciales asignadas a mi usuario,
**para** tener una vista general y rápida del estado básico de mi cartera de clientes.","Vista: Cartera de Clientes / Empresas -> Sección: Listado de Cuentas Comerciales -> Tarjeta de la Empresa","- [ ] TC-01: Visualización correcta del listado de empresas asignadas al usuario activo en formato de tarjetas.
- [ ] TC-02: Cada tarjeta de empresa muestra Nombre Comercial, RUC y Ejecutivo asignado.
- [ ] TC-03: Renderizado adecuado cuando el encargado no tiene clientes asignados (estado vacío con ilustración).
- [ ] TC-04: Implementar paginación o scroll infinito cuando el listado excede las 20 cuentas.","### UX/UI Designer
- [ ] UX-02: Diseñar el layout responsivo del listado de cartera de clientes y las tarjetas individuales.

### Backend Developer
- [ ] BE-03: Desarrollar endpoint `GET /api/clientes` con filtrado por ejecutivo activo y paginación.

### Frontend Developer
- [ ] FE-03: Maquetar la Vista: Cartera de Clientes y las tarjetas de empresa correspondientes.
- [ ] FE-04: Consumir endpoint `GET /api/clientes` y mapear los campos para poblar la vista dinámicamente.

### Quality Assurance
- [ ] QA-02: Probar la correcta respuesta de la interfaz bajo conexiones de red lentas o inestables.","3","Alta","clientes, listado, sprint-1"
"US-03 | Feature: Búsqueda de clientes por RUC o Razón Social","Cuando el volumen de la cartera de clientes crece, se vuelve ineficiente buscar un cliente específico manualmente en el listado. Se requiere un buscador en tiempo real en la cabecera.

**Como** Encargado de Ventas Comerciales,
**quiero** buscar empresas por RUC o Razón Social,
**para** encontrar al instante el cliente comercial que requiero gestionar.","Vista: Cartera de Clientes / Empresas -> Sección: Listado de Cuentas Comerciales -> Buscador por RUC o Razón Social","- [ ] TC-01: Al escribir coincidencia parcial de Razón Social o RUC, el listado se filtra automáticamente.
- [ ] TC-02: Mostrar un estado 'Sin resultados' claro cuando la búsqueda no devuelva ninguna coincidencia.
- [ ] TC-03: Restablecer el listado completo al limpiar el campo de búsqueda.","### Backend Developer
- [ ] BE-04: Extender endpoint `GET /api/clientes` para recibir parámetros opcionales de búsqueda `search` (que busca en RUC y Razón Social).

### Frontend Developer
- [ ] FE-05: Agregar input de búsqueda en la UI y aplicar técnica debouncing (300ms) para evitar peticiones redundantes.

### Quality Assurance
- [ ] QA-03: Probar consultas con combinaciones de mayúsculas/minúsculas, tildes, números parciales y espacios en blanco.","2","Media","clientes, buscador, sprint-1"
"US-04 | Feature: Visualización de la Ficha del cliente comercial","Antes de contactar al cliente, el encargado comercial debe consultar los datos detallados de contacto, la persona tomadora de decisiones (Jefe de TI o Compras) y quién está a cargo de la cuenta.

**Como** Encargado de Ventas Comerciales,
**quiero** acceder a la ficha técnica del cliente comercial seleccionado,
**para** visualizar sus datos de contacto principales y el ejecutivo comercial de TechFin asignado.","Vista: Ficha del cliente comercial -> Razón Social, RUC, Contacto Principal (Nombre, Teléfono, Correo) y Encargado Comercial asignado","- [ ] TC-01: Visualización correcta de todos los campos del cliente al hacer clic en 'Ver ficha técnica' desde la cartera.
- [ ] TC-02: El enlace 'Volver al Dashboard' o 'Volver a Cartera' debe funcionar correctamente.
- [ ] TC-03: Enlace de teléfono (`tel:`) y correo (`mailto:`) funcionales para iniciar comunicación directa.","### UX/UI Designer
- [ ] UX-03: Diseñar el layout detallado de la Ficha del cliente incluyendo la sección de datos generales de contacto.

### Backend Developer
- [ ] BE-05: Implementar endpoint `GET /api/clientes/{id}` para obtener la información detallada de una empresa.

### Frontend Developer
- [ ] FE-06: Maquetar la Vista: Ficha del cliente comercial e integrar la información general recuperada por la API.
- [ ] FE-07: Agregar navegación de retorno y enlaces interactivos para llamadas y correos.

### Quality Assurance
- [ ] QA-04: Verificar que no ocurran errores de carga si el ID del cliente es inválido o no existe (redireccionar a 404 seguro).","3","Alta","clientes, ficha-cliente, sprint-1"
"US-05 | Feature: Historial y registro de la última adquisición tecnológica","Para automatizar la estimación de obsolescencia del hardware, es indispensable registrar en la ficha del cliente los datos básicos de la última compra: categoría de hardware, cantidad, monto y fecha de la transacción.

**Como** Encargado de Ventas Comerciales,
**quiero** registrar y visualizar la última adquisición de hardware asociada a un cliente comercial,
**para** contar con un histórico del equipamiento tecnológico que requiere renovación.","Vista: Ficha del cliente comercial -> Sección: Historial de la Última Adquisición Tecnológica","- [ ] TC-01: Visualizar los campos de Categoría de Hardware, Cantidad, Monto Total y Fecha de Cierre del pedido original.
- [ ] TC-02: Permitir ingresar/guardar la adquisición con validación de datos (cantidad > 0, monto > 0, fecha anterior o igual a hoy).
- [ ] TC-03: No permitir registrar más de una adquisición activa por cliente para mantener el foco en la última compra.","### Database Administrator
- [ ] DB-02: Crear tabla `adquisiciones` con claves foráneas apuntando a `clientes` y constraints de valores positivos.

### Backend Developer
- [ ] BE-06: Crear endpoints `GET` y `POST` en `/api/clientes/{id}/adquisiciones` para guardar y recuperar el historial de compra.

### Frontend Developer
- [ ] FE-08: Maquetar la sección de Historial de Adquisición en la Ficha del cliente.
- [ ] FE-09: Crear componente formulario interno de registro y conectarlo con la API.

### Quality Assurance
- [ ] QA-05: Validar el ingreso de números negativos, fechas futuras o textos vacíos y asegurar que la interfaz muestre avisos descriptivos.","5","Alta","adquisiciones, hardware, sprint-2"
"US-06 | Feature: Configuración del ciclo de vida útil del hardware","No todos los equipos tienen la misma vida útil; por ejemplo, las laptops se renuevan en promedio cada 730 días, mientras que un servidor puede durar 1095 días. El vendedor debe poder ajustar este ciclo de vida de forma personalizada por cliente y adquisición.

**Como** Encargado de Ventas Comerciales,
**quiero** editar el ciclo de vida útil estimado en días para el producto tecnológico del cliente,
**para** flexibilizar la generación automática de la alerta adaptándose a la realidad del cliente.","Vista: Ficha del cliente comercial -> Sección: Historial de la Última Adquisición Tecnológica -> Campo editable: Ciclo de vida útil estimado del producto (días)","- [ ] TC-01: El campo de ciclo de vida debe ser editable in-situ (inline) y aceptar números enteros positivos de días.
- [ ] TC-02: El sistema debe calcular y mostrar de forma automática la fecha programada de alerta al guardar el campo.
- [ ] TC-03: Si el usuario limpia el campo, el sistema debe asignar por defecto un ciclo de vida predefinido (ej. 365 días).","### Backend Developer
- [ ] BE-07: Implementar endpoint `PATCH /api/adquisiciones/{id}/ciclo-vida` para actualizar los días de ciclo útil y disparar el cálculo de fecha.

### Frontend Developer
- [ ] FE-10: Crear interfaz interactiva de edición en línea (inline-editing) con validación numérica para el campo de ciclo de vida útil.
- [ ] FE-11: Consumir la API de actualización y refrescar la fecha programada en pantalla sin recargar la página.

### Quality Assurance
- [ ] QA-06: Probar casos borde como ciclos de vida extremadamente cortos (1 día) o largos (9999 días) y validar la respuesta del sistema.","3","Alta","configuracion, hardware, sprint-2"
"US-07 | Feature: Precarga de datos históricos y de prueba (Seed Database)","Para facilitar las pruebas de usabilidad y asegurar que el CRM demuestre su valor de inmediato, se requiere contar con datos históricos de compras anteriores y clientes precargados que simulen de inmediato alertas y seguimientos urgentes.

**Como** Administrador Comercial,
**quiero** inicializar la base de datos con un script de datos de prueba preestablecido,
**para** verificar los flujos de alertas críticas y realizar demostraciones del MVP sin necesidad de carga manual.","Por definir (Aplica a base de datos y consola de desarrollo)","- [ ] TC-01: Ejecución exitosa del script de seed poblando al menos 15 clientes comerciales.
- [ ] TC-02: Generación automática de compras asociadas con fechas de adquisición antiguas que disparen alertas en estado Crítico (hace >365 días), Próximas y Monitoreo.
- [ ] TC-03: La ejecución recurrente del script limpia la base de datos e inserta el estado inicial de pruebas de forma limpia.","### Database Administrator
- [ ] DB-03: Escribir el script SQL/Seed con datos realistas para clientes y adquisiciones tecnológicas.

### DevOps Engineer
- [ ] DEVOPS-01: Automatizar la ejecución del seed en el pipeline de CI/CD para entornos de Staging.

### Backend Developer
- [ ] BE-08: Exponer un script npm o docker-compose para inicializar/resetear el esquema y cargar el seed con un solo comando.

### Quality Assurance
- [ ] QA-07: Validar que el volumen y consistencia de los datos seed permita reproducir el happy path del taskflow.","3","Media","bd, devops, seed, sprint-2"
"US-08 | Feature: Motor de cálculo automático de fecha de alerta de recompra","La automatización del proceso post-venta depende de que el sistema calcule cuándo contactar al cliente sin que el vendedor intervenga. La fecha de la alerta debe autocalcularse sumando el ciclo útil a la fecha de adquisición.

**Como** Administrador Comercial,
**quiero** que el sistema calcule automáticamente la fecha programada de alerta a partir de la fecha de última adquisición y el ciclo de vida útil del hardware,
**para** eliminar el cálculo manual y automatizar la programación de alertas de recompra.","Vista: Ficha del cliente comercial -> Sección: Historial de la Última Adquisición Tecnológica -> Campo: Fecha programada de alerta (calculada automáticamente)","- [ ] TC-01: La fecha programada de alerta debe calcularse exactamente como: `fecha_adquisicion` + `ciclo_vida_util_dias`.
- [ ] TC-02: El cálculo debe ejecutarse de forma automática al insertar una adquisición o actualizar el ciclo de vida útil.
- [ ] TC-03: La fecha generada debe persistirse en la base de datos en formato UTC y renderizarse localmente en la zona horaria del usuario.","### Database Administrator
- [ ] DB-04: Crear triggers o constraints de base de datos para recalcular la columna `fecha_alerta` en la tabla de adquisiciones.

### Backend Developer
- [ ] BE-09: Crear pruebas unitarias para validar la lógica del cálculo matemático de fechas (incluyendo años bisiestos y husos horarios).

### Quality Assurance
- [ ] QA-08: Verificar que la fecha calculada en el backend coincida exactamente con lo visualizado en el frontend.","4","Alta","alertas, logica-negocio, sprint-2"
"US-09 | Feature: Dashboard del Encargado de Ventas - Estructura y Navegación","El vendedor comercial requiere un punto de inicio diario. Se debe construir el Dashboard básico con la barra superior de identificación del usuario, ícono de notificaciones y enlaces de ayuda.

**Como** Encargado de Ventas Comerciales,
**quiero** visualizar un Dashboard estructurado con barra superior, mi nombre de usuario activo y accesos directos,
**para** realizar mi jornada laboral de manera ágil y controlada.","Vista: Dashboard del Encargado de Ventas Comerciales -> Sección: Barra superior","- [ ] TC-01: El Dashboard debe renderizarse correctamente al iniciar sesión mostrando la barra superior con el nombre del usuario activo.
- [ ] TC-02: Los íconos de notificaciones de alertas y soporte/ayuda deben ser visibles y responsivos.
- [ ] TC-03: Menú lateral de navegación funcional para saltar entre el Dashboard y la Cartera de Clientes.","### UX/UI Designer
- [ ] UX-04: Definir el diseño de la barra de navegación, tipografías corporativas, paleta de colores y componentes comunes del Dashboard.

### Security Engineer
- [ ] SEC-01: Diseñar y revisar políticas de cabeceras seguras y validación de sesión de usuario activo expuesta en el Dashboard.

### Backend Developer
- [ ] BE-10: Crear endpoint de perfil de sesión `/api/auth/me` para obtener los datos del ejecutivo comercial en sesión.

### Frontend Developer
- [ ] FE-12: Implementar el maquetado del Dashboard, barra superior e íconos interactivos.
- [ ] FE-13: Consumir la sesión del usuario activo para renderizar el nombre de forma dinámica.

### Quality Assurance
- [ ] QA-09: Probar la responsividad del layout en resoluciones mobile, tablet y desktop.","3","Alta","dashboard, navegacion, sprint-3"
"US-10 | Feature: Visualización de contadores de alertas de recompra por obsolescencia","Para organizar y optimizar el tiempo, el vendedor necesita priorizar. Se deben mostrar 3 contadores basados en la urgencia temporal de la renovación del hardware de las cuentas comerciales asignadas.

**Como** Encargado de Ventas Comerciales,
**quiero** ver contadores segmentados por criticidad (Crítico, Renovaciones Próximas y En Monitoreo) en el Dashboard,
**para** priorizar mis esfuerzos comerciales del día evaluando la urgencia.","Vista: Dashboard del Encargado de Ventas Comerciales -> Sección: Alertas de Recompra por Obsolescencia Tecnológica -> Contadores (Crítico, Próximas, Monitoreo)","- [ ] TC-01: Los contadores deben mostrar los números correctos de alertas activas según las fechas programadas en relación con la fecha actual.
- [ ] TC-02: Colores visuales diferenciados según criticidad (Crítico = Rojo/Vibrante, Próximas = Naranja/Amarillo, Monitoreo = Azul/Gris).
- [ ] TC-03: Al hacer clic en un contador, filtrar dinámicamente las tarjetas inferiores del Dashboard.","### Backend Developer
- [ ] BE-11: Implementar endpoint `/api/alertas/resumen` que agrupe y sume la cantidad de alertas según criticidad (Crítico: <= 0 días restantes, Próximas: 1-7 días, Monitoreo: 8-30 días).

### Frontend Developer
- [ ] FE-14: Maquetar los 3 widgets contadores con diseño premium (gradientes suaves y micro-animaciones en hover).
- [ ] FE-15: Conectar los contadores con el endpoint de resumen del backend.

### Quality Assurance
- [ ] QA-10: Escribir pruebas unitarias en backend y pruebas end-to-end (E2E) para verificar que las alertas se agrupen en la categoría temporal correcta.","5","Alta","dashboard, alertas, contadores, sprint-3"
